iter	Passed	Remaining
0	732	7323136
1	1450	7252559
2	2180	7264817
3	2905	7261521
4	3620	7236665
5	4322	7200442
6	5041	7197480
7	5756	7189804
8	6464	7176759
9	7176	7169502
10	7890	7165217
11	8613	7169149
12	9345	7179772
13	10054	7171772
14	10776	7173477
15	11497	7174720
16	12221	7176756
17	12930	7170616
18	13651	7171102
19	14362	7167027
20	15066	7159361
21	15793	7162924
22	16512	7162684
23	17230	7162043
24	17954	7164041
25	18657	7157480
26	19381	7158811
27	20088	7154502
28	20805	7153454
29	21512	7149477
30	22218	7145200
31	22940	7146098
32	23654	7144521
33	24366	7142353
34	25077	7139834
35	25801	7141370
36	26512	7139048
37	27235	7139986
38	27944	7137378
39	28645	7132767
40	29363	7132495
41	30080	7131873
42	30788	7129242
43	31508	7129623
44	32217	7127326
45	32931	7126043
46	33646	7125099
47	34354	7122893
48	35068	7121713
49	35781	7120511
50	36493	7119022
51	37214	7119393
52	37923	7117388
53	38641	7117152
54	39366	7118178
55	40083	7117634
56	40795	7116392
57	41506	7114752
58	42204	7111154
59	42899	7107036
60	43604	7104636
61	44320	7104078
62	45027	7102254
63	45755	7103613
64	46487	7105488
65	47200	7104348
66	47895	7100615
67	48606	7099358
68	49301	7095897
69	50010	7094317
70	50733	7094789
71	51442	7093380
72	52180	7095876
73	52891	7094583
74	53600	7093107
75	54300	7090556
76	55022	7090795
77	55742	7090734
78	56460	7090384
79	57174	7089673
80	57886	7088650
81	58601	7087962
82	59325	7088327
83	60033	7086755
84	60746	7085854
85	61457	7084748
86	62152	7081833
87	62862	7080593
88	63569	7079025
89	64298	7080016
90	65010	7078994
91	65735	7079388
92	66448	7078541
93	67142	7075724
94	67842	7073470
95	68523	7069303
96	69212	7066094
97	69915	7064318
98	70649	7065633
99	71342	7062949
100	72036	7060335
101	72738	7058512
102	73428	7055505
103	74111	7052009
104	74791	7048175
105	75500	7047141
106	76215	7046733
107	76919	7045264
108	77645	7045767
109	78342	7043705
110	79027	7040610
111	79725	7038616
112	80414	7035907
113	81115	7034252
114	81816	7032620
115	82514	7030826
116	83190	7027119
117	83889	7025362
118	84589	7023787
119	85287	7021964
120	85983	7020113
121	86670	7017508
122	87362	7015301
123	88059	7013476
124	88755	7011697
125	89439	7008967
126	90122	7006174
127	90825	7004928
128	91553	7005618
129	92253	7004198
130	92933	7001260
131	93619	6998740
132	94297	6995716
133	94992	6993990
134	95684	6992055
135	96369	6989622
136	97072	6988483
137	97754	6985918
138	98442	6983766
139	99130	6981628
140	99821	6979749
141	100523	6978606
142	101201	6975833
143	101909	6975139
144	102596	6973038
145	103279	6970639
146	103963	6968370
147	104657	6966783
148	105351	6965232
149	106060	6964616
150	106761	6963546
151	107442	6961165
152	108114	6958218
153	108815	6957125
154	109517	6956120
155	110217	6955024
156	110910	6953468
157	111584	6950713
158	112275	6949095
159	112971	6947760
160	113666	6946374
161	114345	6944042
162	115034	6942304
163	115733	6941216
164	116427	6939803
165	117119	6938250
166	117808	6936619
167	118498	6934975
168	119195	6933781
169	119896	6932822
170	120587	6931327
171	121284	6930133
172	121965	6928087
173	122660	6926819
174	123380	6926939
175	124065	6925109
176	124759	6923784
177	125453	6922518
178	126144	6921049
179	126828	6919202
